1,10,20000,12665200,5,50980
1,100,100000,34919500,5,6480
1,1000,1000000,617221900,5,10380
1,10,20000,15047600,5,1061300
1,100,100000,45213500,5,55980
1,1000,500000,267353500,5,61420
1,10,20000,13817200,5,1161780
1,100,100000,39100700,5,62940
1,1000,500000,272539900,5,62640
1,10,20000,14263800,5,1104760
1,100,100000,44389700,5,56160
1,1000,500000,273103800,5,74760
1,10,20000,11641600,5,1190500
1,100,100000,36521800,5,65780
1,1000,500000,257817200,5,84220
1,10,20000,14532000,5,1802200
1,100,100000,36381100,5,66840
1,1000,500000,264147700,5,78360
1,10,20000,14066900,5,1136080
1,100,100000,32799200,5,65200
1,1000,500000,247594800,5,71480
1,10,20000,12375900,5,2381300
1,100,100000,34048400,5,109260
1,1000,500000,219461300,5,109500
1,10,20000,13510800,5,2820300
1,100,100000,33860600,5,196240
1,1000,500000,257590900,5,150900
1,10,20000,13088400,5,58280
1,100,100000,33518700,5,9520
1,1000,500000,273214500,5,11300
1,10,20000,10605700,5,2640
1,100,100000,32983000,5,560
1,1000,500000,263509000,5,380
1,10,20000,12008900,5,2560
1,100,100000,30673000,5,520
1,1000,500000,255622100,5,640
1,10000,1000000,475530500,5,560
1,100000,5000000,2808054700,5,460
