2,10,20000,4627500,5,1620,19990
2,10,100000,23547800,5,2620,99990
2,10,500000,279994100,5,3620,499990
2,10,1000000,623973900,5,1600,999990
2,10,5000000,4951230500,5,3440,4999990
2,100,20000,3312900,5,1560,19925
2,100,100000,23759200,5,1440,99925
2,100,500000,248799100,5,1740,499925
2,100,1000000,704920400,5,1520,999925
2,100,5000000,4792100900,5,3740,4999925
2,1000,20000,52021500,5,2460,19500
2,1000,100000,23698600,5,2860,99500
2,1000,500000,243733500,5,1340,499500
2,1000,1000000,683333500,5,1460,999500
2,1000,5000000,4696521700,5,3300,4999500
2,10000,20000,2326600,5,1200,15692
2,10000,100000,15134000,5,1380,95625
2,10000,500000,239378800,5,1460,495625
2,10000,1000000,584697800,5,2020,995625
2,10000,5000000,4487358700,5,3980,4995625
2,100000,20000,1099800,5,760,4938
2,100000,100000,10662900,5,1360,66248
2,100000,500000,199619100,5,7120,462500
2,100000,1000000,436952900,5,3260,962500
2,100000,5000000,3122341100,5,3300,4962500
